ip,port
5.139.213.154,8080
3.87.85.38,3128
35.211.241.158,80
35.211.237.137,80
198.27.69.221,81
162.243.102.207,3128
207.182.136.62,3128
98.143.35.170,54321
68.183.188.100,3128
35.193.0.225,80
35.208.62.231,3128
35.211.176.159,80
35.184.159.21,8080
35.245.208.185,3128
35.210.203.226,80
47.254.232.126,8080
3.83.230.220,3128
95.140.19.34,40434
95.73.62.13,32185
95.79.57.206,53281
95.78.174.9,50843
95.143.220.5,45939
94.73.229.185,55252
94.253.14.187,55045
95.167.241.242,49636
95.156.102.34,46583
93.91.162.17,35705
94.180.249.187,38051
95.161.146.86,63141
95.47.180.171,53484
178.128.208.169,808
95.181.37.114,54244
94.253.15.130,34948
91.144.147.248,37632
94.102.124.207,50355
91.214.140.175,30015
86.110.189.118,56710
91.230.154.219,35379
91.219.100.6,8080
46.146.197.19,40212
88.147.159.167,53281
91.103.214.106,53281
89.169.16.4,53281
89.175.129.145,55653
84.52.83.70,52177
134.119.188.148,1080
51.38.71.101,8080
46.32.253.11,3128
5.189.162.175,3128
51.68.177.232,1080
84.52.85.235,40749
85.173.244.102,53281
77.94.112.234,55519
82.147.120.38,41741
81.163.50.245,53281
85.237.57.198,41161
84.201.253.7,44518
85.21.240.193,55820
81.163.62.136,41258
79.165.200.116,33490
79.104.28.46,35405
77.66.203.114,33097
78.107.239.235,30711
81.163.58.195,41258
1.10.185.101,4145
1.10.185.115,4145
1.10.186.245,59744
5.139.213.154,8080
1.10.186.181,38971
1.10.186.121,36143
1.10.185.105,4145
1.10.185.99,4145
192.169.217.184,51604
1.10.185.91,4145
64.37.53.193,30092
174.75.238.82,16409
3.87.85.38,3128
35.211.241.158,80
35.211.237.137,80
198.27.69.221,81
162.243.102.207,3128
207.182.136.62,3128
98.143.35.170,54321
109.172.51.162,56043
109.110.34.78,4145
109.195.69.29,51211
68.183.188.100,3128
35.193.0.225,80
109.236.211.186,48609
109.202.17.4,61210
35.208.62.231,3128
35.211.176.159,80
35.184.159.21,8080
35.245.208.185,3128
35.210.203.226,80
109.226.213.125,32013
109.68.189.22,54643
109.167.224.198,42847
109.236.211.171,37456
128.68.151.11,52114
109.248.62.207,49650
109.195.23.223,44339
109.207.166.224,1080
109.74.132.190,39710
109.195.54.187,40538
109.188.79.159,4145
47.254.232.126,8080
41.90.126.158,44156
185.13.35.178,50523
3.83.230.220,3128
95.140.19.34,40434
95.73.62.13,32185
95.79.57.206,53281
95.78.174.9,50843
95.143.220.5,45939
94.73.229.185,55252
94.253.14.187,55045
95.167.241.242,49636
95.156.102.34,46583
93.91.162.17,35705
94.180.249.187,38051
95.161.146.86,63141
95.47.180.171,53484
178.128.208.169,808
95.181.37.114,54244
94.253.15.130,34948
87.249.24.222,34674
85.163.24.20,4145
5.139.213.154,8080
3.87.85.38,3128
35.211.241.158,80
35.211.237.137,80
198.27.69.221,81
162.243.102.207,3128
207.182.136.62,3128
98.143.35.170,54321
68.183.188.100,3128
35.193.0.225,80
35.208.62.231,3128
35.211.176.159,80
35.184.159.21,8080
35.245.208.185,3128
35.210.203.226,80
47.254.232.126,8080
3.83.230.220,3128
95.140.19.34,40434
95.73.62.13,32185
95.79.57.206,53281
95.78.174.9,50843
95.143.220.5,45939
94.73.229.185,55252
94.253.14.187,55045
95.167.241.242,49636
95.156.102.34,46583
93.91.162.17,35705
94.180.249.187,38051
95.161.146.86,63141
95.47.180.171,53484
178.128.208.169,808
95.181.37.114,54244
94.253.15.130,34948
91.144.147.248,37632
94.102.124.207,50355
91.214.140.175,30015
86.110.189.118,56710
91.230.154.219,35379
91.219.100.6,8080
46.146.197.19,40212
88.147.159.167,53281
91.103.214.106,53281
89.169.16.4,53281
89.175.129.145,55653
84.52.83.70,52177
134.119.188.148,1080
51.38.71.101,8080
46.32.253.11,3128
