ip,port
35.245.208.185,3128
178.128.208.169,808
51.38.71.101,8080
46.32.253.11,3128
5.189.162.175,3128
51.68.177.232,1080
68.183.231.47,8080
193.106.95.82,53250
91.77.160.233,8080
35.186.172.159,3128
35.208.62.231,3128
35.212.155.228,3128
35.189.90.214,3128
142.44.186.225,8080
35.245.245.26,3128
35.193.0.225,80
148.72.209.119,80
142.44.184.205,80
195.208.172.70,8080
35.222.1.33,8080
157.230.137.96,3128
35.240.224.241,3128
35.221.133.32,3128
3.87.85.38,3128
35.198.31.168,80
35.184.159.21,8080
35.229.113.175,443
23.237.22.82,3128
178.206.225.2,3128
119.28.182.246,443
134.19.218.94,3129
194.182.73.139,8080
217.61.107.173,8888
35.159.52.64,8081
217.91.227.43,3128
200.153.145.165,8080
125.99.34.93,8080
219.92.17.225,8080
91.221.109.136,3128
217.113.122.142,3128
84.22.139.241,3128
23.20.214.120,3128
54.236.44.224,3128
3.83.230.220,3128
74.208.83.188,80
79.123.136.96,3128
134.209.108.154,31330
191.252.185.161,8090
64.207.224.62,8080
190.12.60.242,3128
180.210.201.55,3129
23.237.23.73,3128
161.202.226.194,25
183.87.75.5,8080
185.41.248.161,8080
145.239.82.33,8080
3.19.27.17,8080
175.139.194.93,8080
202.54.169.235,8080
194.186.135.74,3130
41.223.234.37,8080
180.210.201.54,3128
223.27.212.41,8080
68.183.231.47,3128
35.245.208.185,3128
178.128.208.169,808
87.249.24.222,34674
85.163.24.20,4145
62.212.34.2,45331
213.7.203.58,4145
95.159.106.249,59559
91.92.78.207,4145
80.188.204.250,4145
170.81.141.249,43704
62.244.140.38,59196
78.142.232.27,4145
77.37.164.74,45501
81.183.209.197,4145
81.3.154.235,4145
89.175.153.158,4145
213.222.34.200,4145
91.102.231.158,4145
78.29.44.57,3629
84.245.103.85,52109
217.17.111.107,59311
51.38.71.101,8080
46.32.253.11,3128
5.189.162.175,3128
51.68.177.232,1080
176.36.210.201,61745
193.27.208.137,41058
68.183.231.47,8080
95.215.228.130,58804
92.114.234.206,47097
79.142.82.70,49319
91.222.92.218,4145
193.106.70.157,4145
180.180.156.111,54624
46.227.14.107,32818
118.172.181.147,51411
194.44.176.100,48681
180.180.156.60,43974
180.180.152.159,4153
1.10.185.101,4145
106.0.63.249,4145
193.106.95.82,53250
119.148.36.141,1080
85.192.162.158,1080
47.144.167.116,64312
117.212.95.79,6931
117.196.229.65,51372
91.219.88.121,47334
88.81.72.240,34534
91.77.160.233,8080
103.38.25.162,4145
35.186.172.159,3128
109.74.158.22,4145
35.208.62.231,3128
35.212.155.228,3128
35.189.90.214,3128
109.86.214.43,33463
109.86.184.131,60859
109.69.2.88,4145
109.86.207.1,54001
109.86.225.33,50622
109.75.40.137,41355
109.75.36.93,44441
